food_name,cal_per_100g,protein_per_100g,fat_per_100g,carbs_per_100g,sugar_per_100g,fiber_per_100g,sodium_per_100g,satfat_per_100g,matched
additional ice,56.0,12.2,0.41,0.0,0.0,0.0,333.0,0.124,yes
additional parsley,36.0,2.97,0.79,6.33,0.85,3.3,56.0,0.132,yes
additions herbs,56.0,12.2,0.41,0.0,0.0,0.0,333.0,0.124,yes
adobo sauce,438.0,7.68,18.3,60.5,10.3,1.0,3200.0,8.44,yes
adobo saucefrom canned chipotle chiles in adobo sauce,159.0,0.9,0.15,40.4,31.8,1.1,5.0,0.007,yes
agar flakes,306.0,6.21,0.3,80.9,2.97,7.7,102.0,0.061,yes
agave,310.0,0.09,0.45,76.4,68.0,0.2,4.0,0.0,yes
agave nectar,310.0,0.09,0.45,76.4,68.0,0.2,4.0,0.0,yes
agave nectar or maple syrup,310.0,0.09,0.45,76.4,68.0,0.2,4.0,0.0,yes
agave nectar or pure maple syrup,310.0,0.09,0.45,76.4,68.0,0.2,4.0,0.0,yes
agave or honey,310.0,0.09,0.45,76.4,68.0,0.2,4.0,0.0,yes
agave syrup,310.0,0.09,0.45,76.4,68.0,0.2,4.0,0.0,yes
aged cheddar cheese,408.0,23.3,34.0,2.44,0.0,0.0,654.0,19.2,yes
aji amarillo or hot paprika,282.0,14.1,12.9,54.0,10.3,34.9,68.0,2.14,yes
alaskan salmonfillets,470.0,9.0,43.5,10.5,0.0,0.0,24.0,8.6,yes
alder grilling plank,29.0,3.28,0.58,4.44,2.26,2.2,11.0,0.064,yes
alder wood chips,519.0,2.3,33.6,58.4,35.3,7.7,6.0,29.0,yes
aleppo or other coarse red pepper,26.0,0.99,0.3,6.03,4.2,2.1,4.0,0.059,yes
aleppo pepper,27.0,1.66,0.45,5.35,1.95,3.4,13.0,0.048,yes
aleppo pepper or red pepper flakes,26.0,0.99,0.3,6.03,4.2,2.1,4.0,0.059,yes
aleppo-style pepper or crushed red pepper flakes,26.0,0.99,0.3,6.03,4.2,2.1,4.0,0.059,yes
alfalfa sprouts,23.0,3.99,0.69,2.1,0.2,1.9,6.0,0.069,yes
all purpose flour,364.0,10.3,0.98,76.3,0.27,2.7,2.0,0.155,yes
all purpose flour or whole wheat pastry flour,364.0,10.3,0.98,76.3,0.27,2.7,2.0,0.155,yes
all purpose or bread flour,364.0,10.3,0.98,76.3,0.27,2.7,2.0,0.155,yes
all-bran original cereal,324.0,7.6,1.6,78.9,32.9,13.7,382.0,0.296,yes
all-purpose flour,364.0,10.3,0.98,76.3,0.27,2.7,2.0,0.155,yes
all-purpose flour - additional up to,364.0,10.3,0.98,76.3,0.27,2.7,2.0,0.155,yes
all-purpose light piecrust dough,364.0,10.3,0.98,76.3,0.27,2.7,2.0,0.155,yes
all-purpose or spelt flour,364.0,10.3,0.98,76.3,0.27,2.7,2.0,0.155,yes
all-purpose unbleached flour,364.0,10.3,0.98,76.3,0.27,2.7,2.0,0.155,yes
allspice,263.0,6.09,8.69,72.1,0.0,21.6,77.0,2.55,yes
allspice berries,263.0,6.09,8.69,72.1,0.0,21.6,77.0,2.55,yes
almond blossom honey,594.0,18.2,49.9,27.9,0.0,13.7,130.0,4.73,yes
almond butter,614.0,21.0,55.5,18.8,6.27,10.3,227.0,6.55,yes
almond drink,50.0,0.63,1.25,9.38,8.75,0.4,71.0,0.0,yes
almond extract,288.0,0.06,0.06,12.6,12.6,0.0,9.0,0.01,yes
almond flour,357.0,0.3,0.1,88.2,0.0,3.4,2.0,0.019,yes
almond flour or matzo meal,345.0,10.5,1.6,74.5,0.8,10.1,4.0,0.335,yes
almond meal,383.0,9.3,1.7,80.9,0.33,2.6,16.0,0.271,yes
almond meal sifted,383.0,9.3,1.7,80.9,0.33,2.6,16.0,0.271,yes
almond milk,526.0,9.0,34.4,53.4,43.9,6.2,74.0,17.7,yes
almond milk cream cheese or regular cream cheese,350.0,6.15,34.4,5.52,3.76,0.0,314.0,20.2,yes
almond milk more if needed,526.0,9.0,34.4,53.4,43.9,6.2,74.0,17.7,yes
almond or coconut-based creamer,133.0,0.0,6.67,20.0,20.0,0.0,67.0,0.0,yes
almond or vanilla extract,288.0,0.06,0.06,12.6,12.6,0.0,9.0,0.01,yes
almond paste,458.0,9.0,27.7,47.8,36.2,4.8,9.0,2.63,yes
almond slivers,579.0,21.2,49.9,21.6,4.35,12.5,1.0,3.8,yes
almonds,579.0,21.2,49.9,21.6,4.35,12.5,1.0,3.8,yes
alphabet or ditalini pasta,371.0,13.0,1.51,74.7,2.67,3.2,6.0,0.277,yes
amber agavesyrup,56.0,0.0,0.0,5.92,5.92,0.0,4.0,0.0,yes
an onion,40.0,1.1,0.1,9.34,4.24,1.7,4.0,0.042,yes
an orange,246.0,0.3,0.0,66.3,60.0,0.7,56.0,0.0,yes
anaheim chiles,324.0,10.6,5.81,69.9,41.1,28.7,91.0,0.813,yes
ancho chile,281.0,11.9,8.2,51.4,0.0,21.6,43.0,0.82,yes
ancho chile powder,281.0,11.9,8.2,51.4,0.0,21.6,43.0,0.82,yes
ancho chiles,281.0,11.9,8.2,51.4,0.0,21.6,43.0,0.82,yes
ancho chili powder,282.0,13.5,14.3,49.7,7.19,34.8,2870.0,2.46,yes
ancho or other mild chili powder,282.0,13.5,14.3,49.7,7.19,34.8,2870.0,2.46,yes
ancho powder,281.0,11.9,8.2,51.4,0.0,21.6,43.0,0.82,yes
anchovies,131.0,20.4,4.84,0.0,0.0,0.0,104.0,1.28,yes
anchovy,131.0,20.4,4.84,0.0,0.0,0.0,104.0,1.28,yes
anchovy fillet,131.0,20.4,4.84,0.0,0.0,0.0,104.0,1.28,yes
anchovy fillets,131.0,20.4,4.84,0.0,0.0,0.0,104.0,1.28,yes
anchovy paste,131.0,20.4,4.84,0.0,0.0,0.0,104.0,1.28,yes
ancient-grain cereal blend,371.0,11.4,2.86,81.5,5.71,11.4,371.0,0.48,yes
and basil,23.0,3.15,0.64,2.65,0.3,1.6,4.0,0.041,yes
and cake flour,362.0,8.2,0.86,78.0,0.31,1.7,2.0,0.127,yes
and canned unsalted pinto bean,114.0,6.99,0.9,20.2,0.54,5.5,239.0,0.158,yes
and cold water,884.0,0.11,100.0,0.0,0.0,0.0,0.0,8.98,yes
and cooled brown rice,363.0,7.23,2.78,76.5,0.66,4.6,8.0,0.557,yes
and cored pineapple,253.0,0.1,0.1,66.4,21.0,0.4,42.0,0.018,yes
and cream of tartar,258.0,0.0,0.0,61.5,0.0,0.2,52.0,0.0,yes
and cucumber,10.0,0.59,0.16,2.16,1.38,0.7,2.0,0.078,yes
and granulated sugar,387.0,0.0,0.0,100.0,99.8,0.0,1.0,0.0,yes
and grated english cucumber,420.0,28.4,27.8,13.9,0.07,0.0,1800.0,15.4,yes
and or lettuce,17.0,1.23,0.3,3.29,1.19,2.1,8.0,0.039,yes
and pure vanilla extract,288.0,0.06,0.06,12.6,12.6,0.0,9.0,0.01,yes
and red heirloom tomato,18.0,0.95,0.11,4.01,2.49,0.7,11.0,0.015,yes
and thinly carrots,309.0,16.5,27.0,0.0,0.0,0.0,68.0,11.5,yes
and unflavored gelatin,622.0,13.8,57.7,23.7,0.0,5.2,505.0,8.7,yes
and unsalted canned chickpeas,139.0,7.05,2.77,22.5,4.01,6.4,246.0,0.214,yes
and unsalted cannellini beans,345.0,8.2,3.1,71.0,0.25,1.7,252.0,0.695,yes
and very thinly,53.0,2.47,1.65,7.82,6.58,0.4,58.0,0.206,yes
andes mint chips,196.0,4.69,7.09,28.4,25.4,0.6,67.0,4.48,yes
andouille sausage,309.0,12.0,28.2,0.94,0.94,0.0,827.0,9.31,yes
angel hair pasta,371.0,13.0,1.51,74.7,2.67,3.2,6.0,0.277,yes
angostura bitters,19.0,0.84,0.18,4.32,1.95,2.0,6.0,0.014,yes
anise seeds,337.0,17.6,15.9,50.0,0.0,14.6,16.0,0.586,yes
anjou pears,57.0,0.36,0.14,15.2,9.75,3.1,1.0,0.022,yes
